"","date","lineage","pred","obs"
"378",2020-01-23,"Om:BA.1",2.07673384644708e-174,NA
"379",2020-01-23,"Om:BA.2",9.84148250469901e-150,NA
"380",2020-01-23,"Om:BA.2.12.1",3.7303061474313e-270,NA
"381",2020-01-23,"Om:BA.2.75",0,NA
"382",2020-01-23,"Om:BA.2.75.2",3.08461307339159e-104,NA
"383",2020-01-23,"Om:BA.4",9.88131291682493e-324,NA
"384",2020-01-23,"Om:BA.4.6",0,NA
"385",2020-01-23,"Om:BA.5",0,NA
"386",2020-01-23,"Om:BF.7",0,NA
"387",2020-01-23,"Om:BN.1",4.76832161748473e-69,NA
"388",2020-01-23,"Om:BQ.1",0,NA
"389",2020-01-23,"Om:BQ.1.1",0,NA
"390",2020-01-23,"Om:XBB",5.6330193301961e-30,NA
"391",2020-01-23,"Other",1,NA
"392",2020-01-24,"Alpha",1.19350631327945e-19,NA
"393",2020-01-24,"Beta",1.62641365070622e-23,NA
"394",2020-01-24,"Delta",5.80088435494271e-41,NA
"395",2020-01-24,"Om:BA.1",4.62040567757918e-174,NA
"396",2020-01-24,"Om:BA.2",1.87363524524161e-149,NA
"397",2020-01-24,"Om:BA.2.12.1",1.15344550625495e-269,NA
"398",2020-01-24,"Om:BA.2.75",0,NA
"399",2020-01-24,"Om:BA.2.75.2",4.64266472294218e-104,NA
"400",2020-01-24,"Om:BA.4",3.95252516672997e-323,NA
"401",2020-01-24,"Om:BA.4.6",0,NA
"402",2020-01-24,"Om:BA.5",0,NA
"403",2020-01-24,"Om:BF.7",0,NA
"404",2020-01-24,"Om:BN.1",6.19058477574651e-69,NA
"405",2020-01-24,"Om:BQ.1",0,NA
"406",2020-01-24,"Om:BQ.1.1",0,NA
"407",2020-01-24,"Om:XBB",6.21244035564956e-30,NA
"408",2020-01-24,"Other",1,NA
"409",2020-01-25,"Alpha",1.36133897582184e-19,NA
"410",2020-01-25,"Beta",1.88933387561424e-23,NA
"411",2020-01-25,"Delta",7.29419757396407e-41,NA
"412",2020-01-25,"Om:BA.1",1.02796748181911e-173,NA
"413",2020-01-25,"Om:BA.2",3.56705306394195e-149,NA
"414",2020-01-25,"Om:BA.2.12.1",3.56656125078684e-269,NA
"415",2020-01-25,"Om:BA.2.75",0,NA
"416",2020-01-25,"Om:BA.2.75.2",6.98769512312057e-104,NA
"417",2020-01-25,"Om:BA.4",1.58101006669199e-322,NA
"418",2020-01-25,"Om:BA.4.6",0,NA
"419",2020-01-25,"Om:BA.5",0,NA
"420",2020-01-25,"Om:BF.7",0,NA
"421",2020-01-25,"Om:BN.1",8.03707109964614e-69,NA
"422",2020-01-25,"Om:BQ.1",0,NA
"423",2020-01-25,"Om:BQ.1.1",0,NA
"424",2020-01-25,"Om:XBB",6.85146151826905e-30,NA
"425",2020-01-25,"Other",1,NA
"426",2020-01-26,"Alpha",1.5527725211603e-19,NA
"427",2020-01-26,"Beta",2.19475684552546e-23,NA
"428",2020-01-26,"Delta",9.17193224213992e-41,NA
"429",2020-01-26,"Om:BA.1",2.28706571980301e-173,NA
"430",2020-01-26,"Om:BA.2",6.79100566307728e-149,NA
"431",2020-01-26,"Om:BA.2.12.1",1.10281405464183e-268,NA
"432",2020-01-26,"Om:BA.2.75",0,NA
"433",2020-01-26,"Om:BA.2.75.2",1.05172107071172e-103,NA
"434",2020-01-26,"Om:BA.4",5.78056805634258e-322,NA
"435",2020-01-26,"Om:BA.4.6",0,NA
"436",2020-01-26,"Om:BA.5",0,NA
"437",2020-01-26,"Om:BF.7",0,NA
"438",2020-01-26,"Om:BN.1",1.04343150446526e-68,NA
"439",2020-01-26,"Om:BQ.1",0,NA
"440",2020-01-26,"Om:BQ.1.1",0,NA
"441",2020-01-26,"Om:XBB",7.55621337976014e-30,NA
"442",2020-01-26,"Other",1,NA
"443",2020-01-27,"Alpha",1.77112574112182e-19,NA
"444",2020-01-27,"Beta",2.54955340247353e-23,NA
"445",2020-01-27,"Delta",1.15330494137805e-40,NA
"446",2020-01-27,"Om:BA.1",5.08836096394976e-173,NA
"447",2020-01-27,"Om:BA.2",1.29288118481158e-148,NA
"448",2020-01-27,"Om:BA.2.12.1",3.4100040728229e-268,NA
"449",2020-01-27,"Om:BA.2.75",0,NA
"450",2020-01-27,"Om:BA.2.75.2",1.58295001583443e-103,NA
"451",2020-01-27,"Om:BA.4",2.15412621586783e-321,NA
"452",2020-01-27,"Om:BA.4.6",0,NA
"453",2020-01-27,"Om:BA.5",0,NA
"454",2020-01-27,"Om:BF.7",0,NA
"455",2020-01-27,"Om:BN.1",1.3546592919385e-68,NA
"456",2020-01-27,"Om:BQ.1",0,NA
"457",2020-01-27,"Om:BQ.1.1",0,NA
"458",2020-01-27,"Om:XBB",8.33345710082746e-30,NA
"459",2020-01-27,"Other",1,NA
"460",2020-01-28,"Alpha",2.02018412105872e-19,NA
"461",2020-01-28,"Beta",2.96170510428831e-23,NA
"462",2020-01-28,"Delta",1.4501985543416e-40,NA
"463",2020-01-28,"Om:BA.1",1.13208016172265e-172,NA
"464",2020-01-28,"Om:BA.2",2.4614053366615e-148,NA
"465",2020-01-28,"Om:BA.2.12.1",1.05440511278589e-267,NA
"466",2020-01-28,"Om:BA.2.75",0,NA
"467",2020-01-28,"Om:BA.2.75.2",2.38250504093687e-103,NA
"468",2020-01-28,"Om:BA.4",8.01374477554502e-321,NA
"469",2020-01-28,"Om:BA.4.6",0,NA
"470",2020-01-28,"Om:BA.5",0,NA
"471",2020-01-28,"Om:BF.7",0,NA
"472",2020-01-28,"Om:BN.1",1.7587180273762e-68,NA
"473",2020-01-28,"Om:BQ.1",0,NA
"474",2020-01-28,"Om:BQ.1.1",0,NA
"475",2020-01-28,"Om:XBB",9.19064930555707e-30,NA
"476",2020-01-28,"Other",1,NA
"477",2020-01-29,"Alpha",2.30426546699775e-19,NA
